id,file_path,image_file_name,SEM_number_image,SEM_number_image_conf,scientific_name_filename,SEM_number_filename,angle_filename
566,images/Hemiptera/Lygaeidae/Spilostethus hospes (4front) _0001.jpg,Spilostethus hospes (4front) _0001.jpg,SEM-UBC,0.9999317380801394,Spilostethus hospes,,front
635,images/Hemiptera/Cydnidae/Amnestus pallidus (1dorsal).jpg,Amnestus pallidus (1dorsal).jpg,SEM-UBC,0.999795299846051,Amnestus pallidus,,dorsal
1487,images/Hemiptera/Delphacidae/Achorotile subarctica form B (3lateral) .jpg,Achorotile subarctica form B (3lateral) .jpg,SEM-UBC,0.9997371270272781,Achorotile subarctica form B,,lateral
1685,images/Hemiptera/Corixidae/Corisella tarsalis (1dorsal).jpg,Corisella tarsalis (1dorsal).jpg,SEMUBC COR-2138,0.8216567155164924,Corisella tarsalis,,dorsal
1711,images/Hemiptera/Psyllidae/Purshivora pubescens (4front) .jpg,Purshivora pubescens (4front) .jpg,SEM-UBC,0.8240118516297921,Purshivora pubescens,,front
3110,images/Hemiptera/Aradidae/Aradus depressus female (2ventral).jpg,Aradus depressus female (2ventral).jpg,OCR FAILED,0,Aradus depressus female,,ventral
3131,images/Hemiptera/Aradidae/Aradus vadosus (3lateral).jpg,Aradus vadosus (3lateral).jpg,SEM-UBC,0.9988316349917964,Aradus vadosus,,lateral
3182,images/Hemiptera/Aradidae/Aradus laeviusculus male (2ventral).jpg,Aradus laeviusculus male (2ventral).jpg,OCR FAILED,0,Aradus laeviusculus male,,ventral
3217,images/Hemiptera/Cicadidae/Okanagana rimosa (4front).jpg,Okanagana rimosa (4front).jpg,SEM,0.7942344325407563,Okanagana rimosa,,front
3245,images/Hemiptera/Cicadidae/Tibicen pruinosa (1dorsal) merged.jpg,Tibicen pruinosa (1dorsal) merged.jpg,SEMUBC CIC-0280,0.5255018208759821,Tibicen pruinosa,,dorsal
3440,images/Hemiptera/Miridae/Ceratocapsus downesi form A (1dorsal) .jpg,Ceratocapsus downesi form A (1dorsal) .jpg,SEM-UBC MIR-00O1,0.634514157233609,Ceratocapsus downesi form A,,dorsal
3513,images/Hemiptera/Membracidae/Gargara genistae (1dorsal) .jpg,Gargara genistae (1dorsal) .jpg,OCR FAILED,0,Gargara genistae,,dorsal
3581,images/Hemiptera/Membracidae/Platycotis maritima form A (2ventral) .jpg,Platycotis maritima form A (2ventral) .jpg,OCR FAILED,0,Platycotis maritima form A,,ventral
3810,images/Hemiptera/Tingidae/Corythucha morrilli (3lateral).jpg,Corythucha morrilli (3lateral).jpg,SEM-UBC TIN-648,0.9398342039339314,Corythucha morrilli,,lateral
3818,images/Hemiptera/Tingidae/Corythucha pallipes (1dorsal)  SEM-UBC TIN-824.jpg,Corythucha pallipes (1dorsal)  SEM-UBC TIN-824.jpg,SEM-UBC TIN-824,FROM FILENAME,Corythucha pallipes,SEM-UBC TIN-824,dorsal
3823,images/Hemiptera/Tingidae/Corythucha padi (1dorsal).jpg,Corythucha padi (1dorsal).jpg,SEM-UBC TIN-715,0.8787762968889299,Corythucha padi,,dorsal
3828,images/Hemiptera/Tingidae/Corythucha ulmi (1dorsal) SEM-UBC TIN-911.jpg,Corythucha ulmi (1dorsal) SEM-UBC TIN-911.jpg,SEM-UBC TIN-911,FROM FILENAME,Corythucha ulmi,SEM-UBC TIN-911,dorsal
3829,images/Hemiptera/Tingidae/Dictyla monotropida (2ventral) SEM-UBC TIN-915.jpg,Dictyla monotropida (2ventral) SEM-UBC TIN-915.jpg,SEM-UBC TIN-915,FROM FILENAME,Dictyla monotropida,SEM-UBC TIN-915,ventral
3831,images/Hemiptera/Tingidae/Leptodictya leinahoni (2ventral).jpg,Leptodictya leinahoni (2ventral).jpg,OCR FAILED,0,Leptodictya leinahoni,,ventral
3837,images/Hemiptera/Tingidae/Corythucha salicata (1dorsal).jpg,Corythucha salicata (1dorsal).jpg,SEM-UBC TIN-909,0.9475779497490732,Corythucha salicata,,dorsal
3847,images/Hemiptera/Tingidae/Corythucha pallipes (3lateral) SEM-UBC TIN-824.jpg,Corythucha pallipes (3lateral) SEM-UBC TIN-824.jpg,SEM-UBC TIN-824,FROM FILENAME,Corythucha pallipes,SEM-UBC TIN-824,lateral
3849,images/Hemiptera/Tingidae/Dictyla ehrethiae (3lateral) SEM-UBC TIN-914.jpg,Dictyla ehrethiae (3lateral) SEM-UBC TIN-914.jpg,SEM-UBC TIN-914,FROM FILENAME,Dictyla ehrethiae,SEM-UBC TIN-914,lateral
3856,images/Hemiptera/Tingidae/Corythucha pallida (1dorsal) SEM-UBC TIN-823.jpg,Corythucha pallida (1dorsal) SEM-UBC TIN-823.jpg,SEM-UBC TIN-823,FROM FILENAME,Corythucha pallida,SEM-UBC TIN-823,dorsal
3857,images/Hemiptera/Tingidae/Corythucha morrilli (1dorsal).jpg,Corythucha morrilli (1dorsal).jpg,SEM-UBC TIN-648,0.9904203221520184,Corythucha morrilli,,dorsal
3861,images/Hemiptera/Tingidae/Corythucha mollicula (2ventral).jpg,Corythucha mollicula (2ventral).jpg,SEM-UBC TIN-628,0.7577526719185516,Corythucha mollicula,,ventral
3863,images/Hemiptera/Tingidae/Dictyla monotropida (3lateral) SEM-UBC TIN-915.jpg,Dictyla monotropida (3lateral) SEM-UBC TIN-915.jpg,SEM-UBC TIN-915,FROM FILENAME,Dictyla monotropida,SEM-UBC TIN-915,lateral
3878,images/Hemiptera/Tingidae/Corythucha salicata (2ventral).jpg,Corythucha salicata (2ventral).jpg,SEM-UBC TIN-909,0.8821607811405409,Corythucha salicata,,ventral
3880,images/Hemiptera/Tingidae/Corythucha pallipes (2ventral) SEM-UBC TIN-824.jpg,Corythucha pallipes (2ventral) SEM-UBC TIN-824.jpg,SEM-UBC TIN-824,FROM FILENAME,Corythucha pallipes,SEM-UBC TIN-824,ventral
3883,images/Hemiptera/Tingidae/Dictyla ehrethiae (2ventral) SEM-UBC TIN-914.jpg,Dictyla ehrethiae (2ventral) SEM-UBC TIN-914.jpg,SEM-UBC TIN-914,FROM FILENAME,Dictyla ehrethiae,SEM-UBC TIN-914,ventral
3891,images/Hemiptera/Tingidae/Corythucha padi (2ventral).jpg,Corythucha padi (2ventral).jpg,SEM-UBC TIN-715,0.9249608625593169,Corythucha padi,,ventral
3899,images/Hemiptera/Tingidae/Corythucha pallida (2ventral) SEM-UBC TIN-823.jpg,Corythucha pallida (2ventral) SEM-UBC TIN-823.jpg,SEM-UBC TIN-823,FROM FILENAME,Corythucha pallida,SEM-UBC TIN-823,ventral
3906,images/Hemiptera/Tingidae/Galeatus spinifrons (3lateral) SEM-UBC TIN-916.jpg,Galeatus spinifrons (3lateral) SEM-UBC TIN-916.jpg,SEM-UBC TIN-916,FROM FILENAME,Galeatus spinifrons,SEM-UBC TIN-916,lateral
3921,images/Hemiptera/Tingidae/Dictyonota fuliginosa (2ventral).jpg,Dictyonota fuliginosa (2ventral).jpg,OCR FAILED,0,Dictyonota fuliginosa,,ventral
3923,images/Hemiptera/Tingidae/Corythucha mollicula (1dorsal).jpg,Corythucha mollicula (1dorsal).jpg,SEM-UBC TIN-628,0.9996774570524662,Corythucha mollicula,,dorsal
