SEM #,Path To Images,Filenames
SEM-UBC HET-1241,website/Main/Hemiptera/Phymatidae/,"Phymata americana metcalfi (2ventral).jpg, Phymata americana metcalfi (1dorsal).jpg, Phymata americana metcalfi (3lateral).jpg, "
SEM-UBC HET-1215,website/Main/Hemiptera/Phymatidae/,"Phymata americana americana (3lateral).jpg, Phymata americana americana (1dorsal).jpg, Phymata americana americana (2ventral).jpg, "
SEM-UBC HET-1368,website/Main/Hemiptera/Phymatidae/,"Phymata pennsylvanica (3lateral).jpg, Phymata pennsylvanica (1dorsal).jpg, Phymata pennsylvanica (2ventral).jpg, "
SEM-UBC HET-1369,website/Main/Hemiptera/Phymatidae/,"Phymata vicina vicina (3lateral).jpg, Phymata vicina vicina (2ventral).jpg, Phymata vicina vicina (1dorsal).jpg, "
SEM-UBC NAB-0013,website/Main/Hemiptera/Nabidae/,"Nabis propinquus (2ventral) .jpg, Nabis propinquus (1dorsal) .jpg, Nabis propinquus (3lateral) .jpg, "
SEM-UBC NAB-0003,website/Main/Hemiptera/Nabidae/,"Hoplistoscelis heidemanni (3lateral).jpg, Hoplistoscelis heidemanni (4front) .jpg, Hoplistoscelis heidemanni (2ventral).jpg, Hoplistoscelis heidemanni (1dorsal).jpg, "
SEM-UBC NAB-0009,website/Main/Hemiptera/Nabidae/,"Nabis flavomarginatus form A (2ventral) .jpg, Nabis flavomarginatus form A (1dorsal) .jpg, Nabis flavomarginatus form A (3lateral) .jpg, "
SEM-UBC NAB-0025,website/Main/Hemiptera/Nabidae/,"Phorticus collaris (3lateral) .jpg, Phorticus collaris (1dorsal) .jpg, Phorticus collaris (2ventral) .jpg, "
SEM-UBC NAB-0006,website/Main/Hemiptera/Nabidae/,"Hoplistoscelis sordidus (1dorsal) .jpg, Hoplistoscelis sordidus (2ventral) .jpg, Hoplistoscelis sordidus (3lateral) .jpg, "
SEM-UBC NAB-0023,website/Main/Hemiptera/Nabidae/,"Pagasa fusca (3lateral) .jpg, Pagasa fusca (1dorsal) .jpg, Pagasa fusca (4front) .jpg, Pagasa fusca (2ventral) .jpg, "
SEM-UBC NAB-0020,website/Main/Hemiptera/Nabidae/,"Nabis americoferus (1dorsal) .jpg, Nabis americoferus (2ventral) .jpg, Nabis americoferus (3lateral) .jpg, "
SEM-UBC NAB-0011,website/Main/Hemiptera/Nabidae/,"Nabis nigrovittata nearctica form A (3lateral) .jpg, Nabis nigrovittata nearctica form A (1dorsal) .jpg, Nabis nigrovittata nearctica form A (2ventral) .jpg, "
SEM-UBC NAB-0018,website/Main/Hemiptera/Nabidae/,"Nabis rufusculus (4front) .jpg, Nabis rufusculus (3lateral) .jpg, Nabis rufusculus (2ventral) .jpg, Nabis rufusculus (1dorsal) .jpg, "
SEM-UBC NAB-0016,website/Main/Hemiptera/Nabidae/,"Nabis vanduzeei (1dorsal) .jpg, Nabis vanduzeei (2ventral) .jpg, Nabis vanduzeei (3lateral) .jpg, "
