SEM #,Dorsal Photo Filename,Ventral Photo Filename,Lateral Photo Filename,Front Photo Filename,Other Photo Filenames,Path To Images
SEM-UBC HET-1241,Phymata americana metcalfi (1dorsal).jpg,Phymata americana metcalfi (2ventral).jpg,Phymata americana metcalfi (3lateral).jpg,none,,Hemiptera/Phymatidae/
SEM-UBC HET-1215,Phymata americana americana (1dorsal).jpg,Phymata americana americana (2ventral).jpg,Phymata americana americana (3lateral).jpg,none,,Hemiptera/Phymatidae/
SEM-UBC HET-1368,Phymata pennsylvanica (1dorsal).jpg,Phymata pennsylvanica (2ventral).jpg,Phymata pennsylvanica (3lateral).jpg,none,,Hemiptera/Phymatidae/
SEM-UBC HET-1369,Phymata vicina vicina (1dorsal).jpg,Phymata vicina vicina (2ventral).jpg,Phymata vicina vicina (3lateral).jpg,none,,Hemiptera/Phymatidae/
SEM-UBC NAB-0013,Nabis propinquus (1dorsal) .jpg,Nabis propinquus (2ventral) .jpg,Nabis propinquus (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0003,Hoplistoscelis heidemanni (1dorsal).jpg,Hoplistoscelis heidemanni (2ventral).jpg,Hoplistoscelis heidemanni (3lateral).jpg,Hoplistoscelis heidemanni (4front) .jpg,,Hemiptera/Nabidae/
SEM-UBC NAB-0009,Nabis flavomarginatus form A (1dorsal) .jpg,Nabis flavomarginatus form A (2ventral) .jpg,Nabis flavomarginatus form A (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0025,Phorticus collaris (1dorsal) .jpg,Phorticus collaris (2ventral) .jpg,Phorticus collaris (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0006,Hoplistoscelis sordidus (1dorsal) .jpg,Hoplistoscelis sordidus (2ventral) .jpg,Hoplistoscelis sordidus (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0023,Pagasa fusca (1dorsal) .jpg,Pagasa fusca (2ventral) .jpg,Pagasa fusca (3lateral) .jpg,Pagasa fusca (4front) .jpg,,Hemiptera/Nabidae/
SEM-UBC NAB-0020,Nabis americoferus (1dorsal) .jpg,Nabis americoferus (2ventral) .jpg,Nabis americoferus (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0011,Nabis nigrovittata nearctica form A (1dorsal) .jpg,Nabis nigrovittata nearctica form A (2ventral) .jpg,Nabis nigrovittata nearctica form A (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0018,Nabis rufusculus (1dorsal) .jpg,Nabis rufusculus (2ventral) .jpg,Nabis rufusculus (3lateral) .jpg,Nabis rufusculus (4front) .jpg,,Hemiptera/Nabidae/
SEM-UBC NAB-0016,Nabis vanduzeei (1dorsal) .jpg,Nabis vanduzeei (2ventral) .jpg,Nabis vanduzeei (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0014,Nabis subcoleoptratus form A (1dorsal) .jpg,Nabis subcoleoptratus form A (2ventral) .jpg,Nabis subcoleoptratus form A (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0005,Himacerus major (1dorsal) .jpg,Himacerus major (2ventral) .jpg,Himacerus major (3lateral) .jpg,Himacerus major (4front) .jpg,,Hemiptera/Nabidae/
SEM-UBC NAB-0012,Nabis nigrovittata nearctica form B (1dorsal) .jpg,Nabis nigrovittata nearctica form B (2ventral) .jpg,Nabis nigrovittata nearctica form B (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0022,Nabis lovetti (1dorsal) .jpg,Nabis lovetti (2ventral) .jpg,Nabis lovetti (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0021,Nabis capsiformis (1dorsal) .jpg,Nabis capsiformis (2ventral) .jpg,Nabis capsiformis (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0007,Lasiomerus annulatus (1dorsal)  .jpg,Lasiomerus annulatus (2ventral) .jpg,Lasiomerus annulatus (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0010,Nabis flavomarginatus form B (1dorsal) .jpg,Nabis flavomarginatus form B (2ventral) .jpg,Nabis flavomarginatus form B (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0008,Nabis americolimbatus (1dorsal) .jpg,Nabis americolimbatus (2ventral) .jpg,Nabis americolimbatus (3lateral) .jpg,Nabis americolimbatus (4front) .jpg,,Hemiptera/Nabidae/
SEM-UBC NAB-0024,Pagasa nigripes (1dorsal) .jpg,Pagasa nigripes (2ventral) .jpg,Pagasa nigripes (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0017,Nabis roseipennis (1dorsal) .jpg,Nabis roseipennis (2ventral) .jpg,Nabis roseipennis (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0019,Nabis alternatus alternatus (1dorsal) .jpg,Nabis alternatus alternatus (2ventral) .jpg,Nabis alternatus alternatus (3lateral) .jpg,none,,Hemiptera/Nabidae/
SEM-UBC NAB-0015,Nabis subcoleoptratus form B (1dorsal) .jpg,Nabis subcoleoptratus form B (2ventral) .jpg,Nabis subcoleoptratus form B (3lateral) .jpg,none,,Hemiptera/Nabidae/
