filename,scientific_name_image,scientific_name_image_conf,SEM_number_image,SEM_number_image_conf,angle_image,angle_image_conf,scientific_name_filename,SEM_number_filename,angle_filename,scientific_name_matches,SEM_number_matches,angle_matches,all_matches
Pteroloma nebrioides (4front) .jpg,Pteroloma nebrioides,0.696176894663549,SEM-UBC COL-28998,0.9936682635192106,front,0.696176894663549,Pteroloma nebrioides,,front,True,,True,True
Isotoma viridis (1left) COLL-0005.jpeg,Isotoma viridis,0.7294759840917593,SEM-UBC COLL-0005,0.9597929982346957,left,0.7294759840917593,Isotoma viridis,,left,True,,True,True
Blattella germanica (2ventral) .jpg,Blatella germanica,0.9957772335945345,SEM-UBC DIC-0112,0.7729918929529452,ventral,0.9957772335945345,Blattella germanica,,ventral,False,,True,False
Blatta orientalis nymph (2ventral) .jpg,Blatta orientalis nymph,0.971008451253787,SEM-UBC DIC-0016,0.999125250965751,ventral,0.971008451253787,Blatta orientalis nymph,,ventral,True,,True,True
Panchlora sp Form B (3lateral) .jpg,Panchlora sp form B,0.37866087902631457,SEM-UBC DIC-0069,0.8441847176759261, Hteral,0.37866087902631457,Panchlora sp Form B,,lateral,True,,False,False
Nyctibora sp form B (1dorsal) .jpg,Nyctibora sp form B,0.8579257616538798,SEM-UBC DIC-0078,0.7450675274663817,dorsal,0.8579257616538798,Nyctibora sp form B,,dorsal,True,,True,True
Blatta orientalis (2ventral) .jpg,Blatta orientalis,0.997991075745884,SEM-UBC DIC-0001,0.9929227587207001,ventral,0.997991075745884,Blatta orientalis,,ventral,True,,True,True
Climaciella brunnea (1dorsal).jpg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Climaciella brunnea,,dorsal,False,,False,False
Euthyrrhapha pacifica (2ventral) SEM-UBC DIC-0172.jpg,Euthyrrhapa pacifica,0.8303343188005038,SEM-UBC DIC-0172,0.9971966784754794,ventral,0.8303343188005038,Euthyrrhapha pacifica,SEM-UBC DIC-0172,ventral,False,True,True,False
Caenurgina careulea (1dorsal).jpg,Caenurgina careulea,0.8730602166496776,SEM-UBC NOC-0946,0.9991432221440086,dorsal,0.8730602166496776,Caenurgina careulea,,dorsal,True,,True,True
