filename,SEM_number_image,SEM_number_image_conf,scientific_name_filename,SEM_number_filename,angle_filename
Pteroloma nebrioides (4front) .jpg,SEM-UBC COL-28998,0.9982957795588459,Pteroloma nebrioides,,front
Isotoma viridis (1left) COLL-0005.jpeg,SEM-UBC COLL-0005,FROM FILENAME,Isotoma viridis,SEM-UBC COLL-0005,left
Blattella germanica (2ventral) .jpg,SEM-UBC DIC-0112,0.7474611111493894,Blattella germanica,,ventral
Blatta orientalis nymph (2ventral) .jpg,SEM-UBC DIC-0016,0.6675689846282141,Blatta orientalis nymph,,ventral
Panchlora sp Form B (3lateral) .jpg,SEM-UBC DIC-0069,0.7631481981133533,Panchlora sp Form B,,lateral
Nyctibora sp form B (1dorsal) .jpg,SEM-UBC DIC-0078,0.9176034458054307,Nyctibora sp form B,,dorsal
Blatta orientalis (2ventral) .jpg,SEM-UBC DIC-0001,0.9220429931486956,Blatta orientalis,,ventral
Climaciella brunnea (1dorsal).jpg,SEM-UBC NEU-0911,0.9832708158748343,Climaciella brunnea,,dorsal
Euthyrrhapha pacifica (2ventral) SEM-UBC DIC-0172.jpg,SEM-UBC DIC-0172,FROM FILENAME,Euthyrrhapha pacifica,SEM-UBC DIC-0172,ventral
Caenurgina careulea (1dorsal).jpg,SEM-UBC NOC-0946,0.9275378601607337,Caenurgina careulea,,dorsal
Ipelates latus form A (1dorsal) .jpg,SEM-UBC COL-28994,0.8114613980002972,Ipelates latus form A,,dorsal
Leptomantispa pulchella (3lateral).jpg,SEM-UBC NEU-0917,0.8432021106509322,Leptomantispa pulchella,,lateral
Agyrtes longulus (1dorsal) .jpg,SEM-UBC COL-28989,0.9988754874928562,Agyrtes longulus,,dorsal
Aegialia crassa (3lateral) .jpeg,SEM-UBC COL-27498,0.967954541382222,Aegialia crassa,,lateral
Folsomia fimetaria (1left) COLL-0008.jpeg,SEM-UBC COLL-0008,FROM FILENAME,Folsomia fimetaria,SEM-UBC COLL-0008,left
Aderus populneus (4front).jpg,SEM-UBC COL-28948,0.998714803318708,Aderus populneus,,front
Amphizoa lecontei (3lateral).jpg,SEM-UBC COL-0057,0.7909123830317698,Amphizoa lecontei,,lateral
Blattella vaga (2ventral) SEM-UBC DIC-0172.jpg,SEM-UBC DIC-0172,FROM FILENAME,Blattella vaga,SEM-UBC DIC-0172,ventral
Parcoblatta pennsylvanica (1dorsal) SEM-UBC DIC-0186.jpg,SEM-UBC DIC-0186,FROM FILENAME,Parcoblatta pennsylvanica,SEM-UBC DIC-0186,dorsal
Cryptotermes brevis (1dorsal) wings only.jpg,SEM-UBC ISO-0050,0.8027900307477014,Cryptotermes brevis,,dorsal
Isotoma viridis (6fullslide) COLL-0005.jpeg,SEM-UBC COLL-0005,FROM FILENAME,Isotoma viridis,SEM-UBC COLL-0005,fullslide
Pteroloma nebrioides (3lateral) .jpg,SEM-UBC COL-28998,0.7577863811614293,Pteroloma nebrioides,,lateral
Ptenothrix unicolor (2right) COLL-0004.jpeg,SEM-UBC COLL-0004,FROM FILENAME,Ptenothrix unicolor,SEM-UBC COLL-0004,right
Aegialia conferta (3lateral)   SEM-UBC COL-32354.jpeg,SEM-UBC COL-32354,FROM FILENAME,Aegialia conferta,SEM-UBC COL-32354,lateral
Tomocerus brevimucronatus (5full) COLL-0012.jpeg,SEM-UBC COLL-0012,FROM FILENAME,Tomocerus brevimucronatus,SEM-UBC COLL-0012,full
Supella longipalpa form B (3lateral) .jpg,SEM-UBC DIC-0090,0.9733955330939977,Supella longipalpa form B,,lateral
Ptenothrix unicolor (2right) COLL-0004.jpg,SEM-UBC COLL-0004,FROM FILENAME,Ptenothrix unicolor,SEM-UBC COLL-0004,right
Aegialia blanchardi (4front).jpeg,SEM-UBC COL-27497,0.8414842534094528,Aegialia blanchardi,,front
Hemerobius bistrigatus (2ventral).jpeg,SEM-UBC NEU-0557,0.936049782197825,Hemerobius bistrigatus,,ventral
Paruroctonus boreus (5claw) SCO-0001.jpeg,SEM-UBC SCO-0001,FROM FILENAME,Paruroctonus boreus,SEM-UBC SCO-0001,claw
Apteroloma caraboides (3lateral) .jpg,SEM-UBC COL-28991,0.911323229085013,Apteroloma caraboides,,lateral
Aderus populneus (3lateral) .jpg,SEM-UBC COL-28948,0.782535331872241,Aderus populneus,,lateral
Amphizoa striata (2ventral).jpg,SEM-UBC COL-0090,0.8238390442482053,Amphizoa striata,,ventral
Apteroloma caraboides (1dorsal) .jpg,SEM-UBC COL-28991,0.8380301269820815,Apteroloma caraboides,,dorsal
Aegialia criddlei (3lateral) .jpeg,SEM-UBC COL-27499,0.9994717997656402,Aegialia criddlei,,lateral
Pycnoscelus surinamensis (1dorsal) .jpg,SEM-UBC DIC-0072,0.6640509186272283,Pycnoscelus surinamensis,,dorsal
Caenurgina annexa (2ventral).jpg,SEM-UBC NOC-0945,0.7267845507950437,Caenurgina annexa,,ventral
Supella longipalpa form B (1dorsal) .jpg,SEM-UBC DIC-0090,0.8269355549404868,Supella longipalpa form B,,dorsal
Zootermopsis angusticollis form D (2ventral) .jpg,SEM-UBC ISO-0035,0.8620684124791198,Zootermopsis angusticollis form D,,ventral
