file_path,image_file_name,SEM_number_image,SEM_number_image_conf,scientific_name_filename,SEM_number_filename,angle_filename
example_images/Pteroloma nebrioides (4front) .jpg,Pteroloma nebrioides (4front) .jpg,SEM-UBC COL-28998,0.7962524243548253,Pteroloma nebrioides,,front
example_images/Isotoma viridis (1left) COLL-0005.jpeg,Isotoma viridis (1left) COLL-0005.jpeg,SEM-UBC COLL-0005,FROM FILENAME,Isotoma viridis,SEM-UBC COLL-0005,left
example_images/Blattella germanica (2ventral) .jpg,Blattella germanica (2ventral) .jpg,SEM-UBC DIC-0112,0.7659176717457329,Blattella germanica,,ventral
example_images/Blatta orientalis nymph (2ventral) .jpg,Blatta orientalis nymph (2ventral) .jpg,SEM-UBC DIC-0016,0.6843064287238427,Blatta orientalis nymph,,ventral
example_images/Panchlora sp Form B (3lateral) .jpg,Panchlora sp Form B (3lateral) .jpg,SEM-UBC DIC-0069,0.7048565955681683,Panchlora sp Form B,,lateral
example_images/Nyctibora sp form B (1dorsal) .jpg,Nyctibora sp form B (1dorsal) .jpg,SEM-UBC DIC-0078,0.9081430508241023,Nyctibora sp form B,,dorsal
example_images/Blatta orientalis (2ventral) .jpg,Blatta orientalis (2ventral) .jpg,SEM-UBC DIC-0001,0.9199659456357288,Blatta orientalis,,ventral
example_images/Climaciella brunnea (1dorsal).jpg,Climaciella brunnea (1dorsal).jpg,SEM-UBC NEU-0911,0.9837248410161493,Climaciella brunnea,,dorsal
example_images/Euthyrrhapha pacifica (2ventral) SEM-UBC DIC-0172.jpg,Euthyrrhapha pacifica (2ventral) SEM-UBC DIC-0172.jpg,SEM-UBC DIC-0172,FROM FILENAME,Euthyrrhapha pacifica,SEM-UBC DIC-0172,ventral
example_images/Caenurgina careulea (1dorsal).jpg,Caenurgina careulea (1dorsal).jpg,SEM-UBC NOC-0946,0.9233402469813061,Caenurgina careulea,,dorsal
example_images/Ipelates latus form A (1dorsal) .jpg,Ipelates latus form A (1dorsal) .jpg,SEM-UBC COL-28994,0.8715913121625768,Ipelates latus form A,,dorsal
example_images/Leptomantispa pulchella (3lateral).jpg,Leptomantispa pulchella (3lateral).jpg,SEM-UBC NEU-0917,0.8564335610942037,Leptomantispa pulchella,,lateral
example_images/Agyrtes longulus (1dorsal) .jpg,Agyrtes longulus (1dorsal) .jpg,SEM-UBC COL-28989,0.9988855310496999,Agyrtes longulus,,dorsal
example_images/Aegialia crassa (3lateral) .jpeg,Aegialia crassa (3lateral) .jpeg,SEM-UBC COL-27498,0.8380754176235164,Aegialia crassa,,lateral
example_images/Folsomia fimetaria (1left) COLL-0008.jpeg,Folsomia fimetaria (1left) COLL-0008.jpeg,SEM-UBC COLL-0008,FROM FILENAME,Folsomia fimetaria,SEM-UBC COLL-0008,left
example_images/Aderus populneus (4front).jpg,Aderus populneus (4front).jpg,SEM-UBC COL-28948,0.9987480623416606,Aderus populneus,,front
example_images/Amphizoa lecontei (3lateral).jpg,Amphizoa lecontei (3lateral).jpg,SEM-UBC COL-0057,0.8040600754931415,Amphizoa lecontei,,lateral
example_images/Blattella vaga (2ventral) SEM-UBC DIC-0172.jpg,Blattella vaga (2ventral) SEM-UBC DIC-0172.jpg,SEM-UBC DIC-0172,FROM FILENAME,Blattella vaga,SEM-UBC DIC-0172,ventral
example_images/Parcoblatta pennsylvanica (1dorsal) SEM-UBC DIC-0186.jpg,Parcoblatta pennsylvanica (1dorsal) SEM-UBC DIC-0186.jpg,SEM-UBC DIC-0186,FROM FILENAME,Parcoblatta pennsylvanica,SEM-UBC DIC-0186,dorsal
example_images/Cryptotermes brevis (1dorsal) wings only.jpg,Cryptotermes brevis (1dorsal) wings only.jpg,SEM-UBC ISO-0050,0.7294990367241059,Cryptotermes brevis,,dorsal
example_images/Isotoma viridis (6fullslide) COLL-0005.jpeg,Isotoma viridis (6fullslide) COLL-0005.jpeg,SEM-UBC COLL-0005,FROM FILENAME,Isotoma viridis,SEM-UBC COLL-0005,fullslide
example_images/Pteroloma nebrioides (3lateral) .jpg,Pteroloma nebrioides (3lateral) .jpg,SEM-UBC COL-28998,0.7742597197375064,Pteroloma nebrioides,,lateral
example_images/Ptenothrix unicolor (2right) COLL-0004.jpeg,Ptenothrix unicolor (2right) COLL-0004.jpeg,SEM-UBC COLL-0004,FROM FILENAME,Ptenothrix unicolor,SEM-UBC COLL-0004,right
example_images/Aegialia conferta (3lateral)   SEM-UBC COL-32354.jpeg,Aegialia conferta (3lateral)   SEM-UBC COL-32354.jpeg,SEM-UBC COL-32354,FROM FILENAME,Aegialia conferta,SEM-UBC COL-32354,lateral
example_images/Tomocerus brevimucronatus (5full) COLL-0012.jpeg,Tomocerus brevimucronatus (5full) COLL-0012.jpeg,SEM-UBC COLL-0012,FROM FILENAME,Tomocerus brevimucronatus,SEM-UBC COLL-0012,full
example_images/Supella longipalpa form B (3lateral) .jpg,Supella longipalpa form B (3lateral) .jpg,SEM-UBC DIC-0090,0.9712620018930384,Supella longipalpa form B,,lateral
example_images/Ptenothrix unicolor (2right) COLL-0004.jpg,Ptenothrix unicolor (2right) COLL-0004.jpg,SEM-UBC COLL-0004,FROM FILENAME,Ptenothrix unicolor,SEM-UBC COLL-0004,right
example_images/Aegialia blanchardi (4front).jpeg,Aegialia blanchardi (4front).jpeg,SEM-UBC COL-27497,0.8309258116579747,Aegialia blanchardi,,front
example_images/Hemerobius bistrigatus (2ventral).jpeg,Hemerobius bistrigatus (2ventral).jpeg,SEM-UBC NEU-0557,0.9334466736135331,Hemerobius bistrigatus,,ventral
example_images/Paruroctonus boreus (5claw) SCO-0001.jpeg,Paruroctonus boreus (5claw) SCO-0001.jpeg,SEM-UBC SCO-0001,FROM FILENAME,Paruroctonus boreus,SEM-UBC SCO-0001,claw
example_images/Apteroloma caraboides (3lateral) .jpg,Apteroloma caraboides (3lateral) .jpg,SEM-UBC COL-28991,0.6965117496075803,Apteroloma caraboides,,lateral
example_images/Aderus populneus (3lateral) .jpg,Aderus populneus (3lateral) .jpg,SEM-UBC COL-28948,0.6777835243880126,Aderus populneus,,lateral
example_images/Amphizoa striata (2ventral).jpg,Amphizoa striata (2ventral).jpg,SEM-UBC COL-0090,0.9440386067217327,Amphizoa striata,,ventral
example_images/Apteroloma caraboides (1dorsal) .jpg,Apteroloma caraboides (1dorsal) .jpg,SEM-UBC COL-28991,0.8096176145433228,Apteroloma caraboides,,dorsal
example_images/Aegialia criddlei (3lateral) .jpeg,Aegialia criddlei (3lateral) .jpeg,SEM-UBC COL-27499,0.999472362056467,Aegialia criddlei,,lateral
example_images/Pycnoscelus surinamensis (1dorsal) .jpg,Pycnoscelus surinamensis (1dorsal) .jpg,SEM-UBC DIC-0072,0.8586566820027843,Pycnoscelus surinamensis,,dorsal
example_images/Caenurgina annexa (2ventral).jpg,Caenurgina annexa (2ventral).jpg,SEM-UBC NOC-0945,0.7342582280222689,Caenurgina annexa,,ventral
example_images/Supella longipalpa form B (1dorsal) .jpg,Supella longipalpa form B (1dorsal) .jpg,SEM-UBC DIC-0090,0.813944255118867,Supella longipalpa form B,,dorsal
example_images/Zootermopsis angusticollis form D (2ventral) .jpg,Zootermopsis angusticollis form D (2ventral) .jpg,SEM-UBC ISO-0035,0.8576655594039364,Zootermopsis angusticollis form D,,ventral
example_images/Ipelates latus form A (3lateral) .jpg,Ipelates latus form A (3lateral) .jpg,SEM-UBC COL-28994,0.9997870379376196,Ipelates latus form A,,lateral
example_images/Blattella germanica nymph (3lateral) .jpg,Blattella germanica nymph (3lateral) .jpg,SEM-UBC DIC-0108,0.9762647674294478,Blattella germanica nymph,,lateral
example_images/Zootermopsis angusticollis form A (3lateral) .jpg,Zootermopsis angusticollis form A (3lateral) .jpg,SEM-UBC ISO-0015,0.7915676996749083,Zootermopsis angusticollis form A,,lateral
example_images/Albuna pyramidalis coloradensis female (1dorsal).jpg,Albuna pyramidalis coloradensis female (1dorsal).jpg,SEM-UBC SES-0103,0.8387858784471185,Albuna pyramidalis coloradensis female,,dorsal
example_images/Agyrtes longulus (3lateral) .jpg,Agyrtes longulus (3lateral) .jpg,SEM-UBC COL-28989,0.9991244892918624,Agyrtes longulus,,lateral
example_images/Sinella baca (4right) COLL-0011.jpeg,Sinella baca (4right) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,right
example_images/Nyctibora sp form C (1dorsal) .jpg,Nyctibora sp form C (1dorsal) .jpg,SEM-UBC DIC-0076,0.7989963164278164,Nyctibora sp form C,,dorsal
example_images/Nyctibora sp form B (3lateral) .jpg,Nyctibora sp form B (3lateral) .jpg,SEM-UBC DIC-0078,0.9822679362509437,Nyctibora sp form B,,lateral
example_images/Blatta orientalis (1dorsal) .jpg,Blatta orientalis (1dorsal) .jpg,SEM-UBC DIC-0001,0.9931966467232625,Blatta orientalis,,dorsal
example_images/Lepidocyrtus cyaneus (1left) COLL-0006.jpeg,Lepidocyrtus cyaneus (1left) COLL-0006.jpeg,SEM-UBC COLL-0006,FROM FILENAME,Lepidocyrtus cyaneus,SEM-UBC COLL-0006,left
example_images/Sinella baca (6label) COLL-0011.jpg,Sinella baca (6label) COLL-0011.jpg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,label
example_images/Reticulitermes hesperus (2ventral) .jpg,Reticulitermes hesperus (2ventral) .jpg,SEM-UBC ISO-0130,0.9145661539149269,Reticulitermes hesperus,,ventral
example_images/Tragosoma depsarium (1dorsal).jpg,Tragosoma depsarium (1dorsal).jpg,SEM-UBC COL-9815,0.9911833989731671,Tragosoma depsarium,,dorsal
example_images/Necrophilus hydrophiloides form B (3lateral) .jpg,Necrophilus hydrophiloides form B (3lateral) .jpg,SEM-UBC COL-28997,0.9793420389822413,Necrophilus hydrophiloides form B,,lateral
example_images/Parcoblatta pennsylvanica (3lateral) SEM-UBC DIC-0186.jpg,Parcoblatta pennsylvanica (3lateral) SEM-UBC DIC-0186.jpg,SEM-UBC DIC-0186,FROM FILENAME,Parcoblatta pennsylvanica,SEM-UBC DIC-0186,lateral
example_images/Lamprochernes minor (6fullslide).jpeg,Lamprochernes minor (6fullslide).jpeg,SEM-UBC PSEU-0002,0.6849845592131957,Lamprochernes minor,,fullslide
example_images/Climaciella brunnea (3lateral).jpg,Climaciella brunnea (3lateral).jpg,SEM-UBC NEU-0911,0.5564896230456936,Climaciella brunnea,,lateral
example_images/Ipelates latus form B (1dorsal) .jpg,Ipelates latus form B (1dorsal) .jpg,SEM-UBC COL-28995,0.9939910364263647,Ipelates latus form B,,dorsal
example_images/Eureum spenceri Allotype (7label) Allotype-0086 female.jpg,Eureum spenceri Allotype (7label) Allotype-0086 female.jpg,OCR FAILED,0,Eureum spenceri Allotype,,label
example_images/Aphodius pedellus (4front).jpeg,Aphodius pedellus (4front).jpeg,SEM-UBC COL-27515,0.9978197105067471,Aphodius pedellus,,front
example_images/Apteroloma tenuicorne (1dorsal) .jpg,Apteroloma tenuicorne (1dorsal) .jpg,SEM-UBC COL-28992,0.9115774971789203,Apteroloma tenuicorne,,dorsal
example_images/Amphizoa striata (1dorsal).jpg,Amphizoa striata (1dorsal).jpg,SEM-UBC COL-0090,0.9470010852160401,Amphizoa striata,,dorsal
