id,file_path,image_file_name,SEM_number_image,SEM_number_image_conf,scientific_name_filename,SEM_number_filename,angle_filename
0,images/Hemiptera/Phymatidae/Phymata americana metcalfi (2ventral).jpg,Phymata americana metcalfi (2ventral).jpg,SEM-UBC HET-1241,0.7973029156252712,Phymata americana metcalfi,,ventral
1,images/Hemiptera/Phymatidae/Phymata americana americana (3lateral).jpg,Phymata americana americana (3lateral).jpg,SEM-UBC HET-1215,0.801885391666985,Phymata americana americana,,lateral
2,images/Hemiptera/Phymatidae/Phymata pennsylvanica (3lateral).jpg,Phymata pennsylvanica (3lateral).jpg,SEM-UBC HET-1368,0.9715919199981722,Phymata pennsylvanica,,lateral
3,images/Hemiptera/Phymatidae/Phymata vicina vicina (3lateral).jpg,Phymata vicina vicina (3lateral).jpg,SEM-UBC HET-1369,0.8779203295168406,Phymata vicina vicina,,lateral
4,images/Hemiptera/Phymatidae/Phymata americana metcalfi (1dorsal).jpg,Phymata americana metcalfi (1dorsal).jpg,SEM-UBC HET-1241,0.7830854138459256,Phymata americana metcalfi,,dorsal
5,images/Hemiptera/Phymatidae/Phymata americana americana (1dorsal).jpg,Phymata americana americana (1dorsal).jpg,SEM-UBC HET-1215,0.8690113678786922,Phymata americana americana,,dorsal
6,images/Hemiptera/Phymatidae/Phymata vicina vicina (2ventral).jpg,Phymata vicina vicina (2ventral).jpg,SEM-UBC HET-1369,0.9475553065125363,Phymata vicina vicina,,ventral
7,images/Hemiptera/Phymatidae/Phymata vicina vicina (1dorsal).jpg,Phymata vicina vicina (1dorsal).jpg,SEM-UBC HET-1369,0.94151572103162,Phymata vicina vicina,,dorsal
8,images/Hemiptera/Phymatidae/Phymata pennsylvanica (1dorsal).jpg,Phymata pennsylvanica (1dorsal).jpg,SEM-UBC HET-1368,0.8018024908247027,Phymata pennsylvanica,,dorsal
9,images/Hemiptera/Phymatidae/Phymata americana metcalfi (3lateral).jpg,Phymata americana metcalfi (3lateral).jpg,SEM-UBC HET-1241,0.7400830839578252,Phymata americana metcalfi,,lateral
10,images/Hemiptera/Phymatidae/Phymata americana americana (2ventral).jpg,Phymata americana americana (2ventral).jpg,SEM-UBC HET-1215,0.9931261896771011,Phymata americana americana,,ventral
11,images/Hemiptera/Phymatidae/Phymata pennsylvanica (2ventral).jpg,Phymata pennsylvanica (2ventral).jpg,SEM-UBC HET-1368,0.7768494789967755,Phymata pennsylvanica,,ventral
12,images/Hemiptera/Nabidae/Nabis propinquus (2ventral) .jpg,Nabis propinquus (2ventral) .jpg,SEM-UBC NAB-0013,0.9266914132449448,Nabis propinquus,,ventral
13,images/Hemiptera/Nabidae/Hoplistoscelis heidemanni (3lateral).jpg,Hoplistoscelis heidemanni (3lateral).jpg,SEM-UBC NAB-0003,0.9659335946339936,Hoplistoscelis heidemanni,,lateral
14,images/Hemiptera/Nabidae/Hoplistoscelis heidemanni (4front) .jpg,Hoplistoscelis heidemanni (4front) .jpg,SEM-UBC NAB-0003,0.942668358349737,Hoplistoscelis heidemanni,,front
15,images/Hemiptera/Nabidae/Nabis flavomarginatus form A (2ventral) .jpg,Nabis flavomarginatus form A (2ventral) .jpg,SEM-UBC NAB-0009,0.9785501721560302,Nabis flavomarginatus form A,,ventral
